岗位,学历,年薪(万),经验(年)
Python开发工程师,本科,14.399999999999999,3.0
Python爬虫,本科,7.199999999999999,0.0
Python开发工程师,本科,5.52,4.0
Python开发工程师,本科,15.0,3.0
Python开发工程师,本科,14.399999999999999,3.0
Python数据分析师（Ai大模型研发助理）,本科,22.799999999999997,1.0
Python开发工程师,本科,5.4,4.0
Python测试工程师,本科,8.399999999999999,1.0
Python开发工程师,本科,14.399999999999999,3.0
Python开发工程师,本科,19.200000000000003,6.0
Python,本科,17.5,3.0
Python开发工程师,本科,21.599999999999998,5.0
Python开发工程师,本科,14.399999999999999,3.0
Python开发工程师,本科,22.75,4.0
Python开发工程师,本科,18.0,3.5
Python开发工程师,本科,15.0,3.0
Python开发工程师,本科,13.799999999999999,3.0
Python开发工程师,本科,18.0,4.0
Python开发工程师,本科,18.0,5.0
Python开发工程师,本科,22.799999999999997,3.0
Python开发工程师,本科,15.0,3.0
Python开发工程师,本科,29.25,3.0
Python开发工程师,大专,4.32,3.0
Python开发工程师,本科,8.399999999999999,2.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,大专,13.200000000000001,2.0
Python开发工程师,本科,5.699999999999999,3.0
Python开发工程师,本科,18.2,3.0
Python开发工程师,本科,21.599999999999998,3.0
Python开发工程师,硕士,18.0,3.5
Python开发工程师,本科,21.0,3.0
Python开发工程师,本科,22.200000000000003,5.0
Python开发工程师,本科,28.200000000000003,7.0
Python开发工程师,本科,27.95,3.0
Python开发工程师,硕士,300.0,3.5
Python开发工程师,大专,16.200000000000003,3.0
Python爬虫App,大专,6.48,3.5
Python开发工程师,本科,14.399999999999999,6.0
Python开发工程师,大专,5.76,1.0
Python开发工程师,本科,18.0,4.0
Python开发工程师,其他,9.1,0.0
Python开发工程师,本科,5.640000000000001,2.0
Python开发工程师,其他,27.0,3.0
Python开发工程师,本科,22.75,3.0
Python开发工程师,大专,14.3,0.0
Python,本科,15.0,0.0
Python开发工程师,本科,19.5,3.0
Python开发工程师,本科,22.1,3.0
Python开发工程师,本科,22.5,2.0
Python开发工程师,本科,16.0,2.0
Python开发工程师,本科,4.800000000000001,2.0
Python开发工程师,本科,30.0,6.0
Python开发工程师,本科,17.0,2.0
Python,本科,5.76,1.0
Python,本科,38.5,3.0
Python开发工程师,本科,5.52,2.0
Python开发工程师,本科,16.799999999999997,2.0
Python开发工程师,本科,45.0,3.0
Python开发工程师,本科,23.099999999999998,3.0
Python开发工程师,大专,5.76,2.0
Python开发工程师,本科,37.8,5.0
Python开发工程师,本科,5.699999999999999,1.0
Python开发工程师,硕士,300.0,3.5
Python开发工程师,硕士,18.0,1.0
Python开发工程师,本科,5.699999999999999,3.0
Python开发工程师,本科,13.799999999999999,3.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,27.95,1.0
Python开发工程师,本科,7.800000000000001,1.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,13.799999999999999,3.0
Python开发工程师,硕士,9.75,4.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,15.0,1.0
Python开发工程师,其他,9.1,0.0
Python开发工程师,高中,9.75,2.5
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,6.510000000000001,3.0
Python开发工程师,本科,22.799999999999997,4.0
Python开发工程师,本科,45.0,3.0
Python开发工程师,本科,30.0,6.5
Python开发工程师,本科,16.799999999999997,1.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,其他,9.1,0.0
Python开发工程师,本科,19.200000000000003,3.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,本科,4.199999999999999,1.0
Python开发工程师,本科,5.58,1.0
